Y,E1,E2,E3,E4,G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20
806.3542886,100.1422066,100.8055455,100.1258559,100.2223813,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
801.4593392,101.2627312,97.97168113,99.0186523,99.83934732,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,0
816.6197541,100.0995878,100.1279322,101.5871298,100.0813553,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1
802.6286508,99.34160584,98.99218852,98.0258185,99.49741466,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
808.6200637,100.7558497,99.91226241,101.5726587,99.1830312,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
794.7953469,101.1476819,98.9958949,99.14975137,100.5637963,1,1,1,0,1,1,0,1,0,1,1,1,1,1,0,1,0,1,1,0
800.9048517,99.9888008,100.2753165,99.9335946,101.9454129,0,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0
783.6984573,97.56495616,101.1220421,99.49778978,99.97238354,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1
800.2847449,100.3154232,98.90068425,97.93777538,99.0602577,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,1
785.0403517,100.1582312,98.27234733,99.75002278,101.1462193,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0
802.8986626,100.4223931,100.2748384,99.15167113,98.74595649,1,1,1,0,1,0,1,0,1,1,1,1,1,0,0,1,1,1,1,1
809.7639306,99.75530464,100.9546215,99.73633599,101.2279709,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
798.580763,100.4982819,99.43082381,99.75489014,98.72755294,0,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
814.6670371,98.96566847,101.520514,100.4876677,99.3974695,1,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1,0,1,1
792.3452873,99.19639015,98.21270811,99.4833641,100.6874163,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1
791.3333888,100.0103852,101.214271,99.35091721,100.8645211,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
808.1907288,100.5106469,99.31493861,99.35420198,99.85882892,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
804.2662895,100.5327464,101.9473225,99.60429974,101.5346889,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0
800.4453212,99.42980384,100.6918063,99.22327874,99.38290555,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0,1,1
796.2731423,101.4721256,99.22628195,99.02136081,100.8783912,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,1
792.4696679,99.67052592,101.872278,100.6819365,100.5034841,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,1,0
817.7559215,99.84987049,99.4644524,100.501041,100.7151371,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
812.3028142,99.56331245,100.5961174,100.8570236,99.53159267,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1
814.1621223,99.86889996,101.2926339,99.59276746,98.67127045,0,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,0,1,0
809.3826504,98.41844139,101.0485926,100.1504448,100.5116382,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1
810.0820734,100.2723402,97.97150183,98.89067455,100.1964539,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
823.2459892,101.5658625,99.06616785,98.91581359,98.68162121,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
819.671015,99.07940302,100.3580325,101.6138936,99.0880195,1,1,1,0,0,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1
788.2582672,98.32928916,102.0586665,99.11334582,99.23315427,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,1,1,1
791.6693229,98.57093367,99.65847381,98.54856406,99.37944081,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1
806.3375809,100.0124564,99.06709055,99.0520172,101.8283538,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1
818.7512342,100.3664918,101.2247278,100.5482944,99.50183088,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
805.1232493,100.4348667,98.80879948,99.3259788,100.0595397,0,0,0,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1
802.5438409,99.29771429,98.39770359,100.7394887,100.1764805,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1
804.0439348,100.8562538,99.04845611,100.21447,100.1913765,0,1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,1,0,1,1
793.6759012,98.68421212,101.233807,99.06636684,98.80378316,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
781.8144485,99.02823708,101.2703046,98.90135307,100.1399902,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1
802.5178831,100.7767753,101.0465873,100.2388854,101.3351794,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0
815.8156058,100.1560824,100.7074923,100.9531378,99.56675226,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1
793.0573871,100.5650008,100.362221,100.872377,99.22549455,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1
812.7372929,100.3754627,99.2458104,101.2767897,99.63756297,1,1,0,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
812.7725452,101.7094778,100.3235662,100.3639552,100.150082,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
807.1329709,99.69677615,100.6988811,98.84870114,100.3909081,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0
825.1768533,99.15060483,101.694188,101.7827786,98.62731362,0,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
799.8947387,99.69789496,100.0819263,99.58945414,99.82122268,1,0,1,1,1,1,0,1,1,0,1,0,0,1,0,1,1,0,1,1
805.77825,99.62668635,99.05198642,99.3945992,100.3545438,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
814.4928671,99.49336502,98.78681771,101.5316902,98.76643854,1,1,1,1,1,0,1,0,1,0,1,1,0,1,0,1,1,0,1,1
797.9948459,99.70907211,99.92741284,99.97746211,100.6370341,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1,1
796.401296,100.1539574,101.3233922,99.09430951,100.4730705,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0
808.1697222,100.3799389,99.69823151,100.3335899,99.30833034,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1
799.0621595,99.6916227,99.54011118,101.1708847,100.8024895,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
803.5679258,98.77775327,100.7604589,98.91770713,98.42018971,0,0,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
817.6292185,100.6462961,100.3500406,100.8552135,100.1092849,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
809.2576376,100.4139937,101.8379725,99.58034861,98.89509915,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0
795.489325,99.76137599,100.6359638,99.67415695,99.40244565,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
799.5145901,99.64185729,100.8843229,100.0011192,98.48186487,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1
818.1952338,101.3596351,100.0969908,100.0593457,100.6246194,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
797.8075468,98.83615627,99.48348418,99.1860479,98.86475364,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
777.1936169,99.08509753,100.9542393,96.77434834,100.1932411,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1
797.3890116,100.2700824,99.01312194,98.08591285,100.3996377,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1
792.3713538,99.84802148,100.2202143,97.44603667,99.89903131,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
793.5312676,99.374302,100.539816,100.7539468,100.1014832,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,0
785.348928,99.022648,100.6343277,99.47905505,101.1491431,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1
812.9322824,101.5055187,100.7542677,98.91258805,98.38073276,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
799.3587622,99.91022367,99.03436483,99.82744935,99.98837115,1,1,0,0,1,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1
804.3196509,99.47961187,99.42604293,100.0908903,99.25784121,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,0,1
812.4109653,102.2537881,99.91246708,99.409266,99.20754805,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
801.626224,98.79150518,100.5060233,98.5948264,98.71593734,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
818.6758275,100.8098229,99.44714323,102.3783994,100.390047,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
804.6656467,100.5857734,100.6711686,99.77581266,101.0471748,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
810.2069071,100.1191473,100.7862458,99.63128382,99.96527933,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1
793.9721549,99.3088146,98.37286616,99.59152378,99.96595278,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
809.1270572,99.12698561,100.0950344,102.3451445,99.53030806,0,1,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1
808.3290782,99.44220233,100.5621235,100.5548272,99.72017502,1,1,0,1,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0
804.2726871,98.25119609,99.8705277,101.3620811,101.5730431,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1
804.4911679,100.1559381,99.0349759,99.46011833,100.6939433,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
789.7519189,99.11714832,101.2968211,99.87827023,98.28636187,0,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1
806.097387,101.0041085,100.5693918,101.5307368,98.63970909,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
787.7694368,99.425891,100.8548137,98.78570522,99.39052651,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
821.4309919,100.1636976,99.20473145,99.6828906,99.51464519,1,1,1,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0
825.010772,101.3493311,102.1682308,100.6872107,99.6330338,1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1
823.6063066,100.2266362,100.3635528,102.252975,100.0777544,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
794.6754291,99.42139708,100.8224233,99.73669643,99.88708854,1,1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1
816.291363,99.4539145,99.6000109,100.1897091,99.95700408,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0
801.8095984,100.5036403,102.21554,98.20457512,98.46295584,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
796.2474774,100.3758211,97.68833375,98.98873237,100.4549456,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
815.4374674,100.4981357,99.34478353,102.3098263,99.65868596,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
812.2460035,99.48396028,98.39775866,101.5972422,98.72515446,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0
808.8367606,103.1692775,100.7664894,100.325405,99.52699487,1,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1
808.2568023,100.4346595,100.1338145,99.86341666,100.1289375,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1
808.4558091,100.2501935,100.3140274,99.60425199,101.5781124,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1
789.0719244,99.34201234,101.6418896,99.78726274,99.3009893,1,0,1,0,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1
814.6808015,99.90935211,99.42265466,100.5504079,100.8866795,1,1,1,1,0,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1
796.3138789,99.41860459,99.33316062,99.86353151,99.51446202,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
827.3975744,99.61824823,99.6481497,100.0027145,100.3728828,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
798.711689,99.59682234,100.9488241,100.2338922,101.3810458,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1
811.1733095,100.4570373,100.5118778,100.2431764,98.91522749,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1
787.5166373,98.11455628,99.65091388,100.22684,100.1378804,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
804.3084896,98.80879877,98.86877436,100.1151447,100.0402204,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1
807.1791961,99.1258495,101.1583518,100.855344,100.4311305,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1
777.3387581,99.62998371,99.73141565,99.78273433,100.4857976,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,1,1,1,0
796.5986156,100.477679,97.95613334,98.86634873,101.5390685,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
818.8994972,99.89394515,100.2415344,100.4105474,99.96008126,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
809.3218139,100.0032503,99.24704688,99.08896835,100.10586,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1,0,0,1
820.8647935,100.6856642,101.3843961,101.7522581,100.6738023,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1,1
810.0941527,98.2076829,100.6158845,101.4395661,99.94125556,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
784.4180009,97.91906447,98.2973261,101.8754433,100.4049018,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1
797.480939,100.2875684,101.7787437,100.5486796,99.88378315,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,1,0
807.718965,100.6473755,99.54868247,99.86232364,101.5462527,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,1
810.4409019,99.90257593,100.6144703,99.90113585,99.13205858,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1
821.1076797,101.1321609,99.56445398,101.8098796,99.44397189,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,1,0,1,1
812.6923342,100.1450811,101.0109025,99.17627141,100.2689325,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1
806.8001658,99.55734076,100.4184778,99.5075782,99.97161772,1,1,0,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1
805.8429744,99.40135452,100.791098,100.7749935,99.41611504,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
808.0635278,98.47165999,101.4895408,100.6239522,98.90479948,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1
793.6335874,98.55445993,100.7543218,100.2755157,100.6687452,0,1,0,1,1,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0
809.8555063,97.62009316,98.5702001,101.6302465,100.7554575,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
802.7495461,98.63938902,100.6753919,99.28548322,99.17450545,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
786.5960746,99.56170764,97.72274125,99.33434139,100.447036,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1
814.1100885,99.70374875,100.9339453,100.6329522,100.3411929,1,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1
793.9969758,100.725988,100.3287081,100.4280321,101.3812801,0,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,0
809.8967369,100.4593268,101.1369038,99.67932462,99.57317961,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1
805.7366302,99.67470166,99.28363825,98.99295733,101.3695643,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1
805.9625081,99.93861488,100.0050782,100.1370574,99.14379981,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
796.1070704,99.12423658,99.36401851,98.45895781,101.2886339,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1
823.0495244,99.85728534,99.48438066,100.9018151,98.14169433,0,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1
813.8305938,100.4307545,99.46752577,100.2945953,100.9619134,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,0,1
813.2108255,99.91627326,100.0763524,99.93082722,100.60423,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
802.9460076,100.0037965,98.9497911,97.80837495,100.9351473,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1
795.1164909,97.96217498,101.2588556,100.0571907,100.594452,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
816.3133781,99.03383355,100.3608303,101.1481529,101.043402,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
806.0213751,99.47029063,99.17451506,100.9624323,100.9183912,1,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,0
811.66558,98.48113571,100.4465644,99.22140024,100.2415804,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,0,1,1
818.8527767,102.2588219,99.62917601,99.64905801,100.3677256,1,0,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,1
807.4056977,98.90792304,100.7178953,100.7382503,98.76059146,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1
808.0328215,99.38532888,101.0353231,100.4069982,98.49848937,1,1,1,1,0,0,1,1,0,0,1,1,1,1,1,1,1,0,1,0
798.8060702,97.90630445,99.22193331,100.3758847,100.0021808,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,1,1,1
789.2998517,100.5791819,99.20378779,100.5304917,100.9443748,0,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1
783.8484669,98.30889954,100.9333486,99.81668761,100.7238283,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,1,1
790.6427842,99.57542534,99.74017381,99.94875505,101.1682473,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
812.0546717,101.9340046,99.1675954,98.78771703,98.18796635,1,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1
793.6603785,98.52221635,99.88308365,99.8170574,98.80636289,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
817.6112174,100.2290807,99.03329236,100.9782823,99.99174273,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1
795.3617884,98.91085801,99.63641773,98.54004267,99.77942653,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
811.6438327,100.32315,100.0433177,98.51490224,100.5682865,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
815.4565995,99.58854489,99.81269274,100.8100768,99.00337032,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1,0,0,0
